,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
36,54313.0,0.0,0.0,3.0,6/8/2020,702.05,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,2.0,32.0,BURNABY                                                                                             ,
37,55716.0,1.0,1.0,3.0,8/21/2020,524018.5,6.0,1.0,,0.0,1.0,0.0,0.0,1.0,144.0,68.0,BURNABY                                                                                             ,
38,57154.0,0.0,0.0,3.0,7/20/2020,356.29,1.0,0.0,,0.0,1.0,668.5957468,0.0,1.0,44.0,53.0,COQUITLAM                                                                                           ,
39,57975.0,0.0,0.0,3.0,9/15/2020,40470.18,3.0,0.0,,0.0,0.0,0.0,0.0,1.0,22.0,61.0,BURNABY                                                                                             ,
40,58411.0,0.0,0.0,3.0,5/28/2020,1297.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,66.0,VANCOUVER                                                                                           ,
41,58428.0,0.0,0.0,3.0,2/3/2021,7458.06,3.0,0.0,,1.0,1.0,0.0,0.0,1.0,5.0,58.0,SURREY                                                                                              ,
42,58643.0,0.0,0.0,3.0,2/4/2021,1000.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,42.0,RICHMOND                                                                                            ,
43,62086.0,0.0,0.0,3.0,4/23/2020,439715.4264,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,6.0,76.0,PORT COQUITLAM                                                                                      ,
44,63192.0,1.0,1.0,3.0,8/19/2020,495.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,46.0,COQUITLAM                                                                                           ,
45,66163.0,0.0,0.0,3.0,2/9/2021,942077.89,3.0,1.0,197118.0382,0.0,1.0,609.0171116,0.0,1.0,9.0,52.0,SURREY                                                                                              ,
46,67105.0,1.0,1.0,3.0,3/26/2020,502000.04,2.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,32.0,VICTORIA                                                                                            ,
47,67145.0,1.0,1.0,3.0,12/4/2020,75.15,1.0,1.0,,0.0,1.0,46.12517619,0.0,1.0,2.0,89.0,VANCOUVER                                                                                           ,
48,70046.0,0.0,0.0,3.0,2/13/2021,4209.53,5.0,0.0,,1.0,1.0,1183.889188,0.0,1.0,16.0,58.0,CHILLIWACK                                                                                          ,
49,74046.0,0.0,0.0,3.0,2/18/2021,5200.5,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,3.0,35.0,SIDNEY                                                                                              ,
50,74167.0,1.0,1.0,3.0,6/30/2020,11400.64,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,41.0,TSAWWASSEN                                                                                          ,
51,75442.0,1.0,1.0,3.0,6/24/2020,332408.74,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,49.0,ABBOTSFORD                                                                                          ,
52,75524.0,0.0,0.0,3.0,5/4/2020,408007.1191,1.0,1.0,,0.0,1.0,1088.192912,1.0,1.0,68.0,39.0,NEW WESTMINSTER                                                                                     ,
53,80032.0,0.0,0.0,3.0,11/4/2020,2000.0,3.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,51.0,VANCOUVER                                                                                           ,
54,80366.0,1.0,1.0,3.0,4/7/2020,679936.7034,5.0,0.0,,0.0,1.0,2255.516751,1.0,1.0,0.0,42.0,DELTA                                                                                               ,
55,81507.0,1.0,1.0,3.0,6/19/2020,199718.71,3.0,1.0,,0.0,1.0,833.1123151,0.0,1.0,22.0,66.0,SURREY                                                                                              ,
56,82304.0,1.0,1.0,3.0,8/5/2020,1129398.55,4.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,79.0,BURNABY                                                                                             ,
57,84921.0,0.0,0.0,3.0,2/18/2021,1100064.71,4.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,41.0,PORT COQUITLAM                                                                                      ,
58,85009.0,1.0,1.0,3.0,12/8/2020,384.26,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,6.0,45.0,WEST VANCOUVER                                                                                      ,
59,86470.0,1.0,1.0,3.0,8/11/2020,640165.0,3.0,0.0,,1.0,1.0,2176.980189,0.0,1.0,0.0,47.0,SURREY                                                                                              ,
60,86568.0,0.0,0.0,3.0,4/2/2020,522849.241,1.0,1.0,,1.0,1.0,1931.194588,1.0,1.0,0.0,43.0,RICHMOND                                                                                            ,
61,89742.0,0.0,0.0,3.0,11/6/2020,0.0,1.0,0.0,,0.0,1.0,617.2190213,0.0,1.0,0.0,39.0,GARIBALDI HIGHLANDS                                                                                 ,
62,95502.0,1.0,1.0,3.0,12/5/2020,2921.5,2.0,1.0,,0.0,1.0,1337.003591,0.0,1.0,6.0,48.0,RICHMOND                                                                                            ,
63,97991.0,0.0,0.0,3.0,3/21/2020,255656.66,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,27.0,63.0,BURNABY                                                                                             ,
64,102371.0,1.0,1.0,3.0,2/13/2021,876853.16,2.0,1.0,,0.0,1.0,2386.211688,0.0,1.0,2.0,71.0,WEST VANCOUVER                                                                                      ,
65,102767.0,0.0,0.0,3.0,7/10/2020,25830.05,2.0,1.0,,0.0,1.0,930.1036821,0.0,1.0,1.0,72.0,NORTH VANCOUVER                                                                                     ,
66,111122.0,0.0,0.0,3.0,5/14/2020,131.98,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,35.0,36.0,SURREY                                                                                              ,
67,111521.0,0.0,0.0,3.0,7/23/2020,5344.62,1.0,1.0,134890.4863,0.0,1.0,0.0,0.0,1.0,5.0,61.0,MAPLE RIDGE                                                                                         ,
68,112178.0,1.0,1.0,3.0,12/15/2020,553229.43,3.0,1.0,,1.0,1.0,1277.008792,0.0,1.0,0.0,69.0,LANGLEY                                                                                             ,
69,113498.0,1.0,1.0,3.0,1/19/2021,17322.96,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,3.0,66.0,CHILLIWACK                                                                                          ,
70,114836.0,1.0,1.0,3.0,2/18/2021,41270.43,4.0,0.0,,0.0,1.0,0.0,0.0,1.0,93.0,69.0,NEW WESTMINSTER                                                                                     ,
71,118726.0,1.0,1.0,3.0,6/12/2020,250.77,1.0,0.0,260135.8073,0.0,1.0,1653.193106,0.0,1.0,2.0,53.0,VANCOUVER                                                                                           ,
72,118738.0,1.0,1.0,3.0,1/21/2021,1952.41,3.0,1.0,,0.0,0.0,0.0,0.0,1.0,6.0,70.0,NANAIMO                                                                                             ,
73,119162.0,1.0,1.0,3.0,9/9/2020,552.94,3.0,1.0,,1.0,1.0,254.4904711,0.0,1.0,0.0,50.0,COQUITLAM                                                                                           ,
74,119550.0,1.0,1.0,3.0,1/6/2021,1884.01,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,25.0,53.0,SURREY                                                                                              ,
75,119552.0,0.0,0.0,3.0,5/12/2020,451664.4321,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,47.0,SURREY                                                                                              ,
76,121617.0,1.0,1.0,3.0,5/15/2020,430475.4561,1.0,0.0,,0.0,1.0,393.4962823,1.0,1.0,0.0,57.0,DELTA                                                                                               ,
77,122064.0,1.0,1.0,3.0,2/11/2021,18942.47,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,10.0,49.0,VICTORIA                                                                                            ,
78,122172.0,0.0,0.0,3.0,12/15/2020,612872.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,72.0,VANCOUVER                                                                                           ,
79,123420.0,1.0,1.0,3.0,3/24/2020,250.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,53.0,WHISTLER                                                                                            ,
80,124248.0,0.0,0.0,3.0,6/5/2020,473828.5888,1.0,1.0,,0.0,1.0,1395.714715,1.0,1.0,20.0,39.0,VICTORIA                                                                                            ,
81,126353.0,0.0,0.0,3.0,12/9/2020,369480.95,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,54.0,SURREY                                                                                              ,
82,129373.0,0.0,0.0,3.0,5/29/2020,434818.2246,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,10.0,58.0,NORTH VANCOUVER                                                                                     ,
83,134967.0,1.0,1.0,3.0,5/21/2020,462812.2893,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,39.0,55.0,VANCOUVER                                                                                           ,
